1,"The acronym for the four properties guaranteed by transactions: atomicity, consistency, isolation, and durability.",1
2,"Application Programming Interface. The specification of how a programmer writing an application accesses the behavior and state of	classes and objects.",2
3,"American Standard Code for Information Interchange. A standard assignment of 7-bit numeric codes to characters. See also Unicode.",3
4,"A collection of graphical user interface (GUI) components that were implemented using native-platform versions of the components. These components provide that subset of functionality which is common to all native platforms.",4
5,"A Java keyword used in a class definition to specify that a class is not to be instantiated, but rather inherited by other classes. An abstract class can have abstract methods that are not implemented in the abstract class, but in subclasses.",5
6,"A class that contains one or more abstract methods, and therefore can never be instantiated. Abstract classes are defined so that other classes can extend them and make them concrete by implementing the abstract methods.",6
7,"A method that has no implementation.",7
8,"The methods by which interactions with resources are limited to collections of users or programs for the purpose of enforcing integrity, confidentiality, or availability constraints.",8
9,"The arguments specified in a particular method call. See also formal parameter list.",9
10,"A component that typically executes in a Web browser, but can execute in a variety of other applications or devices that support the applet programming model.",10
11,"A data item specified in a method call. An argument can be a literal value, a variable, or an expression.",11
12,"A collection of data items, all of the same type, in which each item's position is uniquely designated by an integer.",12
13,"Refers to an operation that is never interrupted or left in an incomplete state under any circumstance.",13
14,"The process by which an entity proves to another entity that it is acting on behalf of a specific identity.",14
15,"See access control.",15
16,"Automatic conversion between reference and primitive types.",16
17,"A reusable software component that conforms to certain design and naming conventions. The conventions enable beans to be easily combined to create an application using tools that understand the conventions.",17
18,"An operator that has two arguments.",18
19,"The smallest unit of information in a computer, with a value of either 0 or 1.",19
20,"An operator that manipulates the bits of one or more of its operands individually and in parallel.",20
21," }.In the Java programming language, any code between matching braces. Example: { x = 1 }.",21
22,"Refers to an expression or variable that can have only a true or false value. The Java programming language provides the boolean type and the literal values true and false.",22
23,"A Java keyword used to resume program execution at the statement immediately following the current statement. If followed by a label, the program resumes execution at the labeled statement.",23
24,"A sequence of eight bits. Java provides a corresponding byte type.",24
25,"Machine-independent code generated by the Java compiler and executed by the Java interpreter.",25
26,"A Java keyword that defines a group of statements to begin executing if a value specified matches the value defined by a preceding switch keyword.",26
27,"abstract term",27
28,"spring term",27
29,"office term",27
